,Modified_deepseek-chat_of_CV_Modeldeepseek-chat DoorDash_PM Score
0,81.946
1,84.377
2,83.04
3,83.312
4,82.318
5,82.322
6,84.192
7,81.09
8,85.171
9,82.473
10,82.487
11,82.461
12,82.472
13,82.607
14,84.451
15,83.901
16,78.485
17,81.558
18,80.903
19,79.895
20,79.916
21,80.441
22,83.575
23,81.924
24,82.422
25,79.765
26,82.665
27,81.097
28,81.1
29,84.171
30,81.249
31,83.95
32,84.741
33,83.152
34,81.507
35,84.209
36,84.399
37,80.583
38,85.749
39,80.848
40,82.227
41,79.037
42,82.714
43,82.318
44,80.627
45,80.796
46,84.627
47,82.805
48,83.039
49,81.969
50,83.725
51,81.949
52,79.839
53,81.856
54,78.867
55,79.361
56,80.883
57,80.325
58,81.872
59,81.701
60,83.916
61,82.121
62,80.62
63,82.246
64,80.742
65,78.977
66,82.506
67,82.59
68,81.116
69,79.834
70,79.359
71,83.727
72,82.117
73,80.307
74,83.3
75,79.368
76,81.53
77,82.931
78,82.251
79,79.134
80,81.446
81,84.906
82,81.428
83,84.406
84,80.022
85,84.866
86,78.05
87,83.119
88,80.825
89,83.233
90,83.255
91,82.504
92,83.945
93,82.04
94,82.129
95,80.448
96,80.035
97,82.631
98,84.962
99,83.162
100,83.072
101,83.461
102,83.461
103,84.784
104,81.846
105,83.596
106,84.489
107,87.034
108,84.845
109,82.58
110,80.534
111,82.938
112,78.25
113,84.4
114,84.953
115,83.605
116,83.041
117,82.004
118,83.155
119,83.837
120,81.471
121,82.879
122,83.731
123,83.036
124,80.068
125,82.602
126,80.849
127,83.694
128,82.656
129,85.224
130,82.428
131,81.958
132,86.146
133,82.511
134,79.318
135,85.33
136,81.819
137,77.802
138,78.492
139,85.392
140,84.355
141,85.663
142,82.529
143,83.889
144,82.288
145,82.483
146,81.721
147,83.974
148,85.113
149,82.402
150,81.52
151,86.506
152,81.783
153,81.652
154,80.496
155,79.608
156,81.476
157,86.467
158,83.734
159,84.06
160,82.424
161,83.119
162,75.302
163,82.173
164,84.537
165,78.987
166,81.329
167,81.726
168,82.11
169,80.798
170,83.641
171,82.854
172,81.789
173,80.798
174,84.126
175,80.322
176,84.899
177,84.181
178,81.544
179,81.893
180,81.142
181,83.718
182,82.764
183,80.67
184,83.024
185,82.884
186,85.809
187,80.753
188,81.981
189,82.694
190,80.874
191,78.613
192,81.017
193,85.792
194,80.23
195,82.385
196,85.216
197,82.536
198,80.811
199,83.119
200,84.536
201,81.245
202,79.518
203,83.785
204,84.18
205,82.305
206,82.448
207,84.354
208,82.691
209,78.522
210,83.191
211,81.497
212,77.227
213,81.229
214,82.538
215,83.28
216,76.229
217,81.896
218,76.547
219,80.746
220,83.225
221,77.766
222,80.427
223,81.872
224,84.478
225,81.577
226,81.155
227,83.17
228,85.044
229,77.447
230,82.856
231,79.522
232,80.747
233,81.735
234,82.228
235,80.162
236,83.293
237,84.484
238,83.143
239,81.932
240,83.388
241,81.919
242,82.157
243,79.132
244,83.117
245,80.259
246,84.46
247,84.287
248,80.035
249,82.79
250,84.478
251,87.009
252,82.787
253,81.95
254,81.197
255,75.054
256,81.647
257,80.704
258,81.591
259,80.875
