,Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_CV_Modelmistralai/Mixtral-8x7B-Instruct-v0.1 DoorDash_PM Score
0,81.866
1,83.792
2,80.463
3,83.216
4,83.015
5,78.949
6,81.807
7,78.918
8,84.405
9,80.15
10,83.033
11,80.723
12,83.713
13,80.597
14,84.151
15,81.05
16,80.433
17,81.588
18,75.873
19,79.293
20,71.721
21,77.533
22,82.548
23,80.891
24,83.67
25,81.854
26,82.017
27,80.607
28,79.794
29,82.142
30,76.809
31,82.752
32,80.903
33,84.949
34,77.681
35,82.821
36,85.68
37,79.033
38,83.629
39,81.996
40,80.454
41,78.122
42,81.69
43,84.037
44,81.221
45,81.066
46,81.997
47,82.296
48,79.756
49,80.151
50,84.66
51,81.951
52,74.843
53,77.457
54,76.327
55,77.938
56,83.037
57,79.963
58,83.46
59,81.501
60,80.725
61,79.842
62,81.069
63,82.71
64,82.401
65,78.609
66,81.794
67,80.674
68,80.237
69,81.283
70,79.782
71,83.004
72,78.873
73,75.401
74,83.78
75,82.042
76,81.461
77,82.571
78,81.405
79,78.539
80,79.592
81,83.137
82,80.816
83,83.105
84,80.012
85,83.093
86,78.574
87,68.36
88,82.815
89,83.64
90,82.858
91,81.341
92,84.451
93,80.944
94,82.089
95,77.874
96,76.952
97,81.612
98,84.478
99,82.285
100,81.7
101,82.957
102,82.853
103,81.305
104,79.161
105,82.04
106,83.544
107,87.087
108,82.478
109,73.793
110,79.227
111,83.388
112,78.373
113,76.072
114,76.367
115,81.057
116,81.249
117,80.348
118,80.489
119,79.964
120,83.578
121,78.294
122,84.844
123,80.911
124,78.056
125,77.06
126,80.463
127,82.602
128,82.184
129,79.46
130,78.099
131,78.941
132,84.146
133,81.725
134,77.464
135,83.952
136,82.201
137,67.243
138,75.089
139,83.739
140,81.408
141,83.246
142,76.237
143,84.811
144,75.54
145,77.795
146,80.437
147,82.539
148,84.521
149,81.747
150,75.986
151,85.157
152,80.708
153,80.179
154,75.623
155,79.099
156,70.359
157,78.523
158,84.434
159,83.477
160,79.328
161,83.304
162,78.548
163,73.945
164,81.725
165,78.537
166,80.311
167,75.677
168,82.773
169,79.54
170,78.309
171,83.642
172,81.153
173,81.99
174,85.004
175,82.129
176,84.026
177,83.884
178,80.436
179,80.501
180,78.949
181,84.479
182,71.025
183,78.587
184,82.952
185,80.967
186,84.985
187,79.719
188,81.196
189,81.181
190,82.648
191,78.815
192,82.413
193,86.066
194,76.827
195,83.624
196,79.083
197,82.403
198,76.641
199,68.986
200,76.443
201,83.006
202,81.159
203,82.632
204,75.212
205,78.234
206,79.13
207,83.429
208,83.71
209,78.754
210,82.562
211,81.231
212,79.418
213,81.141
214,81.934
215,80.632
216,74.289
217,82.756
218,74.903
219,80.503
220,81.456
221,75.826
222,78.446
223,80.439
224,80.645
225,80.698
226,77.971
227,81.939
228,80.936
229,79.118
230,81.593
231,78.185
232,81.357
233,81.155
234,83.119
235,78.837
236,81.08
237,84.572
238,78.299
239,79.12
240,81.071
241,82.573
242,82.518
243,75.13
244,80.384
245,80.599
246,84.472
247,81.796
248,82.672
249,81.391
250,81.17
251,85.312
252,82.681
253,79.587
254,84.522
255,70.237
256,80.592
257,80.603
258,81.382
259,78.244
