,Modified_claude-sonnet-4-20250514_of_CV_Modelclaude-sonnet-4-20250514 DoorDash PM Score
0,79.642
1,83.61
2,80.933
3,80.185
4,78.706
5,78.49
6,79.564
7,80.368
8,77.981
9,77.199
10,78.664
11,79.511
12,79.035
13,79.045
14,79.976
15,78.517
16,80.388
17,80.287
18,77.63
19,79.12
20,77.497
21,80.253
22,79.8
23,80.153
24,77.331
25,79.083
26,79.297
27,81.38
28,80.004
29,77.479
30,79.202
31,79.336
32,80.773
33,77.689
34,81.506
35,78.255
36,78.653
37,78.998
38,80.416
39,78.446
40,80.829
41,79.352
42,79.545
43,78.119
44,81.223
45,81.223
46,78.854
47,80.362
48,80.456
49,80.962
50,80.262
51,80.553
52,79.662
53,77.436
54,80.65
55,80.34
56,81.894
57,80.634
58,80.713
59,79.819
60,79.3
61,79.257
62,80.484
63,79.198
64,81.741
65,79.074
66,78.039
67,82.258
68,81.455
69,79.523
70,82.381
71,77.759
72,78.223
73,78.476
74,78.183
75,79.316
76,79.725
77,76.967
78,78.58
79,78.669
80,78.462
81,77.437
82,78.667
83,79.47
84,80.897
85,75.722
86,75.593
87,79.4
88,81.198
89,79.455
90,80.024
91,76.951
92,83.794
93,77.208
94,77.638
95,80.204
96,80.279
97,74.817
98,84.031
99,80.413
100,78.553
101,78.682
102,78.523
103,79.584
104,79.409
105,81.772
106,78.346
107,78.213
108,81.018
109,78.73
110,75.634
111,82.242
112,84.793
113,82.065
114,82.857
115,77.528
116,79.942
117,77.446
118,81.642
119,79.388
120,81.633
121,80.466
122,80.974
123,79.723
124,75.627
125,79.363
126,78.031
127,77.868
128,85.019
129,81.808
130,81.569
131,82.425
132,80.328
133,78.693
134,79.573
135,79.839
136,77.557
137,77.9
138,79.669
139,81.063
140,78.394
141,78.975
142,80.414
143,79.739
144,80.38
145,78.008
146,79.022
147,79.703
148,80.379
149,81.139
150,79.642
151,83.61
152,80.933
153,80.185
154,78.706
155,78.49
156,79.564
157,80.368
158,77.981
159,77.199
160,78.664
161,79.511
162,79.035
163,79.045
164,79.976
165,78.517
166,80.388
167,80.287
168,77.63
169,79.12
170,77.497
171,80.253
172,79.8
173,80.153
174,77.331
175,79.083
176,79.297
177,81.38
178,80.004
179,77.479
180,79.202
181,79.336
182,80.773
183,77.689
184,81.506
185,78.255
186,78.653
187,78.998
188,80.416
189,78.446
190,80.829
191,79.352
192,79.545
193,78.119
194,81.223
195,81.223
196,78.854
197,80.362
198,80.456
199,80.962
200,80.262
201,80.553
202,79.662
203,77.436
204,80.65
205,80.34
206,81.894
207,80.634
208,80.713
209,79.819
210,79.3
211,79.257
212,80.484
213,79.198
214,81.741
215,79.074
216,78.039
217,82.258
218,81.455
219,79.523
220,82.381
221,77.759
222,78.223
223,78.476
224,78.183
225,79.316
226,79.725
227,76.967
228,78.58
229,78.669
230,78.462
231,77.437
232,78.667
233,79.47
234,80.897
235,75.722
236,75.593
237,79.4
238,81.198
239,79.455
240,80.024
241,76.951
242,83.794
243,77.208
244,77.638
245,80.204
246,80.279
247,74.817
248,84.031
249,80.413
250,80.73
251,77.072
252,75.072
253,79.5
254,78.239
255,79.891
256,78.666
257,78.772
258,81.624
259,78.271
