,Modified_meta-llama/Llama-3.3-70B-Instruct-Turbo_of_CV_Modelmeta-llama/Llama-3.3-70B-Instruct-Turbo Google_UX_llama Score
0,82.318
1,83.013
2,87.974
3,83.806
4,86.654
5,87.559
6,85.501
7,83.961
8,90.28
9,87.329
10,83.291
11,88.106
12,86.384
13,86.305
14,86.459
15,85.811
16,84.713
17,82.255
18,86.006
19,87.561
20,88.726
21,86.382
22,86.415
23,84.246
24,84.276
25,88.934
26,85.948
27,85.733
28,88.488
29,84.747
30,85.587
31,84.08
32,85.533
33,88.018
34,86.13
35,87.114
36,84.306
37,88.194
38,87.106
39,85.616
40,86.644
41,85.494
42,85.288
43,87.739
44,85.859
45,86.719
46,86.425
47,86.389
48,87.139
49,86.451
50,89.898
51,83.468
52,88.42
53,87.805
54,84.984
55,84.323
56,86.878
57,87.969
58,85.277
59,86.957
60,86.885
61,85.214
62,88.015
63,88.27
64,85.256
65,86.845
66,84.697
67,88.13
68,86.846
69,84.81
70,84.85
71,86.643
72,87.725
73,85.709
74,82.094
75,86.782
76,85.353
77,88.213
78,86.618
79,86.008
80,85.28
81,85.224
82,87.505
83,85.208
84,82.525
85,87.415
86,84.934
87,86.771
88,87.368
89,83.611
90,84.661
91,87.894
92,85.123
93,85.884
94,87.749
95,84.871
96,87.232
97,85.381
98,85.371
99,86.787
100,87.452
101,87.309
102,87.526
103,85.643
104,85.907
105,84.463
106,83.898
107,88.37
108,84.994
109,83.722
110,88.201
111,88.122
112,85.863
113,87.318
114,86.685
115,87.192
116,88.349
117,85.243
118,87.241
119,85.732
120,88.764
121,86.464
122,86.099
123,87.731
124,87.6
125,85.09
126,83.427
127,83.74
128,87.033
129,83.853
130,84.255
131,82.32
132,87.29
133,85.608
134,83.046
135,83.444
136,85.078
137,85.107
138,89.248
139,89.255
140,88.229
141,84.174
142,83.516
143,78.606
144,83.966
145,83.806
146,84.98
147,86.379
148,83.688
149,86.759
150,87.505
151,84.205
152,83.691
153,84.119
154,81.065
155,88.424
156,83.639
157,87.996
158,87.555
159,83.723
160,88.046
161,86.894
162,88.963
163,88.334
164,88.929
165,85.234
166,85.674
167,79.687
168,83.702
169,88.813
170,87.068
171,84.784
172,86.979
173,85.067
174,85.691
175,82.448
176,85.308
177,82.581
178,84.202
179,86.08
180,84.241
181,85.606
182,87.322
183,88.03
184,84.698
185,86.729
186,84.689
187,90.401
188,87.676
189,87.251
190,86.353
191,74.404
192,86.347
193,86.776
194,82.024
195,86.465
196,85.741
197,85.097
198,85.4
199,84.863
200,80.135
201,83.852
202,90.123
203,86.297
204,83.989
205,85.156
206,86.959
207,85.832
208,83.45
209,86.524
210,84.651
211,86.064
212,85.207
213,86.683
214,86.466
215,84.487
216,86.036
217,86.963
218,84.254
219,83.482
220,85.486
221,86.07
222,86.416
223,85.085
224,82.493
225,84.755
226,89.063
227,88.843
228,85.062
229,88.658
230,85.111
231,85.811
232,86.857
233,85.732
234,84.349
235,86.098
236,87.435
237,87.527
238,86.074
239,83.888
240,85.989
241,86.779
242,82.971
243,87.217
244,88.082
245,88.583
246,82.499
247,84.447
248,88.532
249,88.037
250,86.922
251,84.307
252,84.249
253,85.68
254,88.778
255,86.93
256,83.608
257,82.728
258,85.964
259,79.875
