Unnamed: 0,Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo Google_UX_gpt35turbo Score
0,84.666
1,85.905
2,89.395
3,81.141
4,86.736
5,88.535
6,84.496
7,84.019
8,89.205
9,86.156
10,86.471
11,87.806
12,86.871
13,87.029
14,88.545
15,85.472
16,84.524
17,83.57
18,86.034
19,83.784
20,82.83
21,83.879
22,82.906
23,83.593
24,84.993
25,90.969
26,81.255
27,84.32
28,87.088
29,81.478
30,84.062
31,79.013
32,86.151
33,88.417
34,80.202
35,83.123
36,83.7
37,88.118
38,86.503
39,83.654
40,87.069
41,82.663
42,85.024
43,85.443
44,84.993
45,87.35
46,86.063
47,85.796
48,87.802
49,83.793
