,Modified_meta-llama_llama-3.3-70b-instruct_of_CV_Modelmeta-llama_llama-3.3-70b-instruct Google_UX_llama Score
0,78.995
1,83.658
2,80.84
3,82.5
4,81.41
5,79.496
6,80.236
7,81.954
8,80.21
9,84.631
10,79.138
11,81.274
12,82.479
13,78.642
14,77.164
15,80.109
16,80.155
17,81.004
18,79.958
19,76.716
20,77.735
21,79.187
22,77.613
23,78.801
24,79.525
25,82.077
26,78.259
27,78.637
28,79.767
29,81.38
30,75.513
31,81.347
32,78.071
33,80.38
34,79.44
35,80.239
36,79.437
37,75.098
38,83.781
39,83.244
40,79.597
41,76.41
42,78.798
43,78.195
44,77.499
45,80.017
46,78.983
47,81.406
48,80.526
49,81.664
50,82.29
51,81.442
52,77.396
53,78.657
54,80.028
55,79.681
56,77.408
57,82.412
58,
59,78.422
60,79.31
61,79.607
62,80.236
63,79.927
64,79.722
65,74.883
66,78.01
67,79.855
68,79.995
69,78.634
70,77.919
71,80.891
72,78.689
73,75.677
74,79.387
75,82.315
76,78.868
77,79.733
78,80.094
79,79.171
80,80.061
81,79.501
82,80.922
83,81.744
84,79.908
85,81.343
86,78.842
87,81.631
88,78.763
89,80.939
90,78.456
91,81.162
92,79.228
93,79.863
94,80.875
95,79.505
96,79.831
97,77.056
98,81.85
99,83.391
100,81.639
101,78.416
102,84.933
103,79.478
104,78.779
105,80.284
106,80.273
107,82.28
108,81.503
109,79.539
110,78.137
111,79.913
112,81.252
113,78.796
114,79.357
115,80.318
116,79.253
117,82.329
118,82.069
119,83.634
120,79.497
121,78.659
122,80.791
123,82.308
124,81.593
125,76.755
126,78.956
127,79.62
128,78.913
129,76.489
130,77.824
131,77.16
132,82.151
133,80.369
134,79.459
135,78.78
136,80.469
137,77.437
138,78.211
139,80.878
140,83.436
141,78.223
142,77.67
143,80.832
144,78.119
145,75.866
146,76.219
147,83.032
148,83.453
149,80.964
150,80.415
151,79.739
152,79.558
153,80.497
154,78.846
155,75.128
156,76.558
157,79.547
158,78.6
159,81.037
160,79.583
161,81.378
162,78.878
163,75.449
164,81.098
165,73.032
166,74.655
167,79.854
168,77.54
169,78.088
170,78.65
171,80.596
172,81.096
173,80.007
174,80.661
175,82.195
176,81.424
177,80.521
178,85.135
179,78.645
180,80.168
181,79.99
182,79.673
183,79.129
184,79.718
185,79.192
186,81.014
187,79.593
188,80.206
189,77.782
190,79.438
191,77.774
192,82.579
193,82.767
194,79.58
195,77.463
196,78.325
197,78.732
198,80.421
199,78.038
200,80.3
201,76.682
202,81.469
203,79.068
204,79.07
205,82.526
206,76.288
207,79.788
208,82.524
209,77.476
210,78.698
211,80.049
212,82.647
213,77.436
214,79.567
215,81.116
216,76.534
217,79.762
218,78.105
219,82.03
220,81.634
221,81.038
222,79.249
223,80.896
224,79.469
225,79.066
226,77.496
227,80.547
228,80.429
229,79.094
230,82.441
231,80.653
232,80.961
233,78.098
234,80.13
235,79.091
236,77.2
237,80.844
238,78.645
239,81.575
240,79.889
241,77.121
242,77.779
243,76.89
244,82.407
245,79.417
246,78.9
247,79.33
248,79.906
249,79.196
250,82.308
251,79.672
252,78.098
253,79.296
254,81.165
255,75.048
256,77.543
257,74.778
258,80.08
259,77.369
