,Modified_openai_gpt-4o_of_Optimized_openai/gpt-4o-mini_Modelopenai_gpt-4o Google_UX Score
0,82.884
1,91.501
2,87.214
3,87.414
4,84.743
5,83.62
6,84.592
7,84.522
8,82.258
9,88.774
10,82.657
11,85.397
12,86.738
13,77.791
14,81.099
15,84.931
16,83.423
17,89.778
18,79.973
19,80.388
20,80.386
21,84.535
22,84.731
23,83.991
24,81.767
25,83.349
26,83.122
27,84.999
28,83.21
29,85.385
30,77.068
31,87.139
32,85.72
33,82.447
34,85.444
35,81.707
36,86.313
37,78.123
38,87.397
39,84.556
40,87.02
41,80.633
42,78.595
43,82.68
44,80.525
45,85.826
46,78.979
47,81.976
48,84.787
49,87.341
50,87.251
