,Modified_mistralai/Mixtral-8x7B-Instruct-v0.1_of_Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo_Modelmistralai/Mixtral-8x7B-Instruct-v0.1 Google_UX Score
0,85.929
1,85.336
2,89.269
3,69.381
4,84.768
5,86.367
6,80.303
7,83.224
8,89.055
9,84.863
10,84.928
11,88.33
12,87.058
13,87.742
14,86.235
15,86.044
16,85.532
17,79.518
18,83.724
19,83.937
20,83.225
21,81.44
22,82.798
23,82.673
24,83.856
25,90.224
26,81.514
27,81.754
28,84.565
29,81.664
30,78.022
31,77.751
32,85.665
33,87.34
34,84.536
35,77.912
36,81.65
37,87.04
38,85.669
39,82.601
40,85.574
41,84.773
42,85.01
43,85.721
44,85.019
45,87.019
46,85.375
47,84.752
48,87.177
49,83.391
50,85.327
51,83.797
52,87.674
53,87.678
54,84.803
55,84.961
56,86.55
57,85.79
58,85.519
59,86.46
60,84.294
61,85.195
62,87.583
63,86.517
64,84.884
65,87.714
66,85.017
67,85.661
68,72.967
69,83.763
70,84.783
71,85.907
72,86.588
73,86.414
74,83.308
75,86.117
76,85.614
77,86.107
78,85.702
79,86.126
80,84.394
81,85.279
82,83.446
83,80.098
84,82.991
85,86.642
86,82.816
87,84.278
88,81.446
89,81.344
90,86.403
91,87.188
92,85.384
93,84.925
94,86.134
95,88.285
96,87.135
97,82.223
98,87.178
99,85.885
100,87.356
101,83.417
102,86.921
103,87.577
104,84.933
105,82.369
106,83.414
107,88.012
108,84.381
109,80.467
110,88.828
111,85.974
112,86.231
113,85.089
114,86.244
115,86.352
116,88.108
117,87.073
118,85.821
119,83.693
120,87.776
121,86.315
122,85.527
123,85.168
124,87.633
125,86.619
126,79.35
127,84.203
128,84.702
129,81.967
130,79.045
131,78.281
132,84.541
133,85.775
134,81.368
135,82.913
136,84.021
137,84.607
138,87.962
139,88.116
140,83.414
141,82.706
142,82.313
143,78.774
144,81.923
145,81.987
146,84.509
147,84.622
148,85.559
149,86.047
150,86.563
151,82.957
152,83.968
153,83.979
154,83.614
155,86.459
156,80.708
157,87.457
158,82.373
159,82.479
160,88.348
161,84.392
162,87.724
163,88.868
164,87.94
165,83.799
166,85.8
167,80.125
168,83.219
169,85.032
170,83.617
171,85.237
172,88.024
173,84.518
174,87.469
175,75.357
176,84.978
177,80.268
178,85.818
179,84.515
180,78.886
181,87.106
182,86.924
183,85.395
184,83.084
185,85.932
186,81.175
187,87.622
188,87.633
189,87.565
190,86.705
191,75.681
192,85.283
193,80.929
194,83.304
195,85.317
196,80.393
197,80.627
198,80.176
199,79.745
200,78.655
201,82.626
202,89.836
203,85.495
204,84.903
205,88.541
206,85.476
207,83.728
208,82.487
209,86.568
210,86.253
211,81.346
212,85.434
213,84.077
214,83.649
215,84.626
216,87.6
217,84.66
218,83.134
219,83.499
220,85.138
221,83.685
222,86.193
223,85.695
224,82.352
225,86.346
226,88.272
227,80.665
228,84.11
229,88.036
230,86.346
231,85.344
232,85.113
233,89.774
234,82.785
235,87.695
236,86.162
237,87.147
238,86.668
239,82.056
240,83.088
241,84.663
242,81.668
243,85.966
244,87.297
245,88.54
246,80.885
247,84.998
248,87.602
249,87.962
250,85.08
251,81.727
252,85.792
253,87.965
254,87.564
255,87.579
256,83.787
257,82.195
258,85.896
259,79.293
