,Modified_anthropic/claude-3.5-sonnet_of_Modified_claude-sonnet-4-20250514_of_CV_Modelclaude-sonnet-4-20250514_Modelanthropic/claude-3.5-sonnet Google_UX Score
260,76.445
261,79.553
262,78.575
263,78.697
264,80.277
265,78.494
266,80.306
267,80.021
268,78.836
269,82.452
270,79.952
271,81.347
272,80.273
273,76.893
274,78.151
275,78.679
276,77.27
277,79.197
278,78.086
279,77.181
280,76.203
281,80.032
282,78.289
283,76.547
284,79.462
285,79.35
286,79.445
287,79.411
288,78.316
289,80.098
290,74.472
291,79.308
292,79.408
293,81.041
294,80.212
295,79.981
296,79.255
297,78.167
298,84.155
299,80.45
300,80.329
301,77.687
302,79.033
303,76.941
304,78.743
305,80.0
306,76.747
307,79.229
308,80.45
309,79.939
310,79.716
311,80.785
312,77.23
313,77.225
314,79.596
315,78.55
316,77.512
317,79.464
318,77.622
319,77.833
320,77.07
321,70.56
322,79.865
323,79.748
324,79.801
325,76.913
326,79.957
327,76.638
328,78.412
329,78.571
330,78.078
331,80.758
332,79.461
333,76.74
334,78.669
335,82.174
336,79.711
337,78.056
338,80.592
339,79.633
340,77.818
341,80.258
342,80.334
343,80.315
344,79.434
345,80.662
346,78.89
347,81.442
348,79.413
349,79.861
350,80.027
351,79.35
352,76.771
353,79.386
354,82.707
355,81.533
356,79.053
357,77.064
358,78.842
359,70.564
360,80.552
361,76.38
362,84.99
363,79.282
364,80.664
365,80.263
366,80.263
367,79.612
368,81.148
369,78.085
370,79.19
371,79.1
372,78.204
373,79.444
374,79.796
375,79.363
376,81.857
377,79.782
378,81.38
379,81.5
380,79.603
381,77.622
382,79.124
383,79.821
384,80.29
385,78.236
386,80.432
387,79.795
388,78.009
389,78.312
390,76.302
391,79.3
392,82.346
393,80.067
394,78.642
395,78.682
396,78.545
397,77.864
398,78.554
399,80.043
400,80.113
401,79.181
402,80.145
403,79.456
404,79.282
405,77.167
406,76.923
407,80.657
408,81.774
409,78.754
410,78.775
411,78.879
412,78.712
413,79.233
414,78.761
415,75.974
416,69.642
417,79.876
418,78.581
419,79.309
420,79.345
421,80.021
422,77.797
423,76.827
424,80.544
425,74.926
426,76.924
427,78.036
428,79.265
429,75.824
430,80.12
431,78.834
432,80.684
433,79.892
434,79.509
435,79.953
436,81.826
437,80.508
438,84.71
439,78.102
440,78.367
441,81.187
442,80.563
443,79.226
444,78.017
445,78.447
446,79.364
447,78.575
448,80.237
449,79.534
450,80.297
451,76.708
452,84.207
453,80.906
454,77.674
455,76.273
456,79.069
457,78.13
458,81.465
459,78.419
460,79.278
461,79.596
462,81.768
463,79.59
464,79.07
465,81.199
466,77.53
467,79.137
468,80.703
469,76.866
470,76.953
471,79.89
472,82.394
473,77.993
474,77.393
475,78.023
476,76.754
477,77.264
478,78.48
479,82.221
480,80.568
481,81.934
482,80.192
483,80.516
484,78.834
485,76.435
486,76.308
487,79.831
488,80.038
489,81.681
490,81.624
491,79.916
492,79.923
493,78.726
494,78.917
495,80.853
496,79.098
497,79.054
498,77.182
499,78.617
500,79.718
501,77.859
502,75.211
503,77.432
504,81.42
505,76.958
506,78.684
507,79.785
508,79.256
509,79.599
510,81.703
511,80.086
512,77.411
513,77.404
514,78.612
515,75.939
516,78.393
517,73.83
518,79.51
519,76.968
