,Modified_gpt-4o_of_Experience:
0,80.479
1,80.61
2,83.337
3,81.943
4,80.104
5,81.711
6,81.079
7,80.424
8,81.763
9,82.166
10,81.447
11,80.521
12,80.646
13,81.3
14,79.511
15,78.844
16,79.836
17,80.075
18,76.554
19,79.301
20,78.83
21,79.448
22,77.919
23,80.085
24,81.705
25,80.015
26,77.59
27,79.763
28,81.194
29,77.219
30,80.645
31,80.136
32,79.778
33,78.531
34,80.561
35,82.647
36,76.478
37,84.441
38,83.331
39,80.051
40,77.482
41,77.935
42,79.142
43,77.165
44,81.448
45,78.446
46,80.556
47,83.099
48,81.509
49,81.558
50,80.641
51,75.931
52,79.935
53,78.687
54,79.86
55,78.781
56,81.189
57,78.038
58,78.993
59,79.03
60,83.022
61,81.343
62,80.236
63,80.261
64,76.051
65,79.615
66,78.496
67,78.689
68,78.725
69,78.624
70,81.594
71,80.921
72,76.778
73,79.518
74,82.443
75,79.012
76,82.108
77,80.999
78,80.547
79,81.271
80,79.25
81,80.538
82,83.607
83,77.42
84,80.266
85,80.617
86,80.429
87,79.387
88,80.355
89,79.337
90,78.727
91,79.816
92,78.808
93,81.218
94,81.018
95,80.941
96,79.8
97,81.607
98,82.758
99,81.569
100,78.459
101,85.866
102,79.233
103,79.285
104,81.273
105,81.146
106,82.061
107,81.103
108,79.575
109,79.982
110,81.381
111,79.304
112,81.213
113,79.794
114,79.954
115,80.857
116,81.166
117,81.135
118,82.853
119,82.585
120,78.513
121,80.676
122,81.144
123,81.77
124,78.031
125,80.788
126,80.364
127,78.505
128,76.432
129,80.663
130,79.752
131,80.697
132,80.841
133,80.216
134,79.599
135,79.88
136,79.069
137,78.869
138,78.968
139,83.246
140,79.469
141,80.15
142,80.139
143,79.735
144,79.257
145,79.505
146,81.91
147,83.244
148,80.942
149,79.181
150,81.271
151,79.479
152,80.699
153,78.794
154,78.148
155,78.973
156,81.191
157,79.215
158,79.381
159,80.363
160,81.19
161,79.298
162,78.39
163,85.606
164,72.701
165,78.39
166,78.566
167,80.786
168,79.85
169,79.317
170,79.234
171,80.481
172,81.7
173,81.086
174,81.648
175,83.62
176,82.248
177,85.458
178,79.907
179,79.961
180,81.646
181,80.092
182,79.398
183,79.168
184,80.107
185,79.995
186,78.093
187,80.948
188,80.697
189,80.022
190,78.966
191,83.964
192,82.706
193,80.659
194,77.691
195,81.033
196,78.501
197,81.505
198,81.473
199,80.533
200,78.365
201,81.032
202,79.525
203,79.345
204,82.43
205,77.332
206,78.731
207,84.53
208,78.923
209,79.252
210,82.775
211,82.899
212,77.774
213,80.017
214,81.849
215,79.079
216,79.776
217,78.712
218,83.208
219,81.771
220,83.324
221,81.401
222,80.943
223,79.057
224,75.721
225,78.756
226,80.641
227,83.334
228,80.23
229,82.3
230,82.046
231,81.564
232,77.126
233,79.102
234,78.906
235,79.731
236,80.328
237,78.562
238,80.59
239,81.067
240,81.859
241,77.351
242,77.904
243,76.058
244,80.543
245,80.245
246,79.972
247,80.341
248,78.984
249,81.088
250,81.383
251,80.584
252,78.273
253,82.186
254,80.151
255,75.361
256,79.147
257,76.276
258,81.244
259,79.042
