,Modified_openai/gpt-4o_of_Optimized_gpt-4o-mini_Modelopenai/gpt-4o Doordash_PM Score
0,78.244
1,80.72
2,81.276
3,80.238
4,82.324
5,81.858
6,81.123
7,79.845
8,82.223
9,81.674
10,76.484
11,81.486
12,84.218
13,82.746
14,83.955
15,80.107
16,82.875
17,78.043
18,81.481
19,80.086
20,82.305
21,79.425
22,84.377
23,80.093
24,79.413
25,79.867
26,80.648
27,78.456
28,84.505
29,79.912
30,83.056
31,83.264
32,83.541
33,79.096
34,79.663
35,79.475
36,81.42
37,80.268
38,80.63
39,81.466
40,79.689
41,80.139
42,81.013
43,83.547
44,80.184
45,79.003
46,79.786
47,80.715
48,80.487
49,80.539
